wn_synset,bn:id,pos,lemmata EN,definition,is it related to music?,note,removed EN
wn:02992211n,bn:00017047n,n,violoncello,a large stringed instrument; seated player holds it upright while playing,YES,,
wn:07026239n,bn:00017585n,n,chamber_music,serious music performed by a small group of musicians,YES,,
wn:08248411n,bn:00017587n,n,chamber_orchestra,small orchestra; usually plays classical music,YES,,
wn:07034634n,bn:00017699n,n,chant,a repetitive song in which as many syllables as necessary are assigned to a single tone,YES,,
wn:01049737v,bn:00084481v,v,chant,recite with musical intonation; recite as a chant or a psalm,YES,,
wn:01049737v,bn:00084481v,v,intone,recite with musical intonation; recite as a chant or a psalm,YES,,
wn:01049737v,bn:00084481v,v,intonate,recite with musical intonation; recite as a chant or a psalm,YES,,
wn:01049737v,bn:00084481v,v,cantillate,recite with musical intonation; recite as a chant or a psalm,YES,,
wn:03006626n,bn:00017700n,n,chanter,reed pipe with finger holes on which the melody is played,YES,,
wn:03006626n,bn:00017700n,n,melody_pipe,reed pipe with finger holes on which the melody is played,YES,,
wn:07050042n,bn:00017701n,n,chantey,a rhythmical work song originally sung by sailors,YES,,
wn:07050042n,bn:00017701n,n,chanty,a rhythmical work song originally sung by sailors,YES,,
wn:07050042n,bn:00017701n,n,sea_chantey,a rhythmical work song originally sung by sailors,YES,,
wn:07050042n,bn:00017701n,n,shanty,a rhythmical work song originally sung by sailors,YES,,
wn:02020609a,bn:00099525a,a,chantlike,uttered in a monotonous cadence or rhythm as in chanting,YES,,
wn:02020609a,bn:00099525a,a,intoned,uttered in a monotonous cadence or rhythm as in chanting,YES,,
wn:02020609a,bn:00099525a,a,singsong,uttered in a monotonous cadence or rhythm as in chanting,YES,,
wn:07378781n,bn:00017954n,n,chatter,the high-pitched continuing noise made by animals (birds or monkeys),YES,,
wn:07378781n,bn:00017954n,n,chattering,the high-pitched continuing noise made by animals (birds or monkeys),YES,,
wn:07378952n,bn:00017953n,n,chatter,the rapid series of noises made by the parts of a machine,YES,,
wn:07378952n,bn:00017953n,n,chattering,the rapid series of noises made by the parts of a machine,YES,,
wn:05127500n,bn:00018212n,n,chest_register,the lower ranges of the voice in speaking or singing,YES,,
wn:05127500n,bn:00018212n,n,chest_voice,the lower ranges of the voice in speaking or singing,YES,,
wn:05127500n,bn:00018212n,n,chest_tone,the lower ranges of the voice in speaking or singing,YES,,
wn:08188638n,bn:00018665n,n,choir,a chorus that sings as part of a religious ceremony,YES,,
wn:08188814n,bn:00018666n,n,choir,a family of similar musical instrument playing together,YES,,
wn:08188814n,bn:00018666n,n,consort,a family of similar musical instrument playing together,YES,,
wn:09919690n,bn:00018670n,n,choirboy,a boy who sings in a choir,YES,,
wn:09919771n,bn:00015376n,n,choirmaster,the musical director of a choir,YES,,
wn:09919771n,bn:00015376n,n,precentor,the musical director of a choir,YES,,
wn:09919771n,bn:00015376n,n,cantor,the musical director of a choir,YES,,
