wn_synset,bn:id,pos,lemmata EN,definition,lemmata IT,is it related to music?
,bn:03707422n,,sadcore,"Sadcore is a subgenre occasionally identified by music journalists to describe examples of alternative rock characterised by bleak lyrics, downbeat melodies and slower tempos, or alternatively, songs with deceivingly upbeat melodies that are simultaneously characterised by depressive lyrical undertones or imagery.",sadcore,YES
,bn:03264828n,,"bosnian_root_music, izvorna_bosanska_muzika",Bosnian root music is polyphonic type of singing.,musica_delle_radici_bosniache,YES
,bn:03850628n,,"german_rock, german_rock_music, rock_music_in_germany","German rock music came into its own only by the late 1960s, but spawned many bands spanning genres such as krautrock, Neue Deutsche Welle, heavy metal, punk, and industrial.","rock_tedesco, musica_rock_in_germania, musica_rock_tedesca",YES
,bn:03361586n,,"romanian_rock, rock_music_in_romania",Romanian rock is a genre of popular music in Romania.,"rock_rumeno, musica_rock_in_romania",YES
,bn:03855548n,,"italian_progressive_rock, italian_wave, italian_symphonic_rock, rock_progressivo_italiano","The Italian progressive rock scene was born in the early 1970s, mostly inspired by the progressive rock movement in Britain, but with certain features of its own that make some sources mention it as a separate musical genre.","rock_progressivo_in_italia, progressive_italiano, rock_progressivo_italiano, rock_sinfonico_italiano",YES
,bn:03643309n,,"malaysian_rock, m_rock, mrock, m-rock",Malaysian underground music and idealism is popular locally and overseas.,rock_malesiano,YES
,bn:03280213n,,"aboriginal_rock, indigenous_rock",Indigenous or Aboriginal rock refers to a style of music which mixes rock music with the instrumentation and singing styles of Indigenous peoples.,"rock_indigeno, rock_aborigeno",YES
,bn:03833026n,,colombian_rock,Colombian Rock is rock music from Colombia.,rock_colombiano,YES
,bn:03800815n,,"c-rock, chinese_rock, yaogun_yinyue, c_punk, chinese_rock_music, c-punk, rock_music_in_china, chinese_punk",Chinese rock is a wide variety of rock and roll music made by rock bands and solo artists from native Chinese-speaking regions.,"rock_cinese, musica_rock_cinese, musica_rock_in_cina, punk_cinese",YES
,bn:13921944n,,"rhythmic_top_40, rhythmic, rhythmic_airplay, rhythmic_songs, list_of_billboard_rhythmic_top_10_singles_in_2017, us_rhy., rhythmic_airplay_chart, chr/rhythmic",The Rhythmic chart is an airplay chart published weekly by Billboard magazine.,"rhythmic_top_40, rhythmic_songs, rhythmic_airplay_chart, ritmica_top_40",YES
,bn:03245008n,,"straight-ahead_jazz, straightahead_jazz",Straight-ahead jazz refers to jazz music that eschews the rock music influences that began to appear in jazz during the late 1960s.,"jazz_diretto, straight-ahead_jazz",YES
,bn:03290413n,,tour_accountant,A Tour Accountant is responsible for the financial operations of a large scale concert tour.,"responsabile_del_tour, contabile_del_tour",YES
,bn:03649346n,,requiem,"John Rutter's Requiem is a musical setting of parts of the Latin Requiem with added psalms and biblical verses in English, completed in 1985.",requiem,YES
,bn:03385333n,,"relief, profile","Relief, or profile, refers to the amount of curvature in the fingerboard of a guitar or other similar stringed instrument.",relief,YES
,bn:03795229n,,"japanese_reggae, j-reggae",Japanese reggae is reggae music originating from Japan.,"reggae_giapponese, j-reggae",YES
,bn:03261861n,,new_zealand_reggae,New Zealand reggae is the New Zealand variation of the musical genre reggae.,reggae_della_nuova_zelanda,YES
,bn:03371505n,,"music_and_mathematics, mathematics_and_music, normalizing_the_musical_scale, musical_kinetics, mathofthewesternmusicalscale, music_and_math, math_and_music, mathematics_of_the_western_music_scale, mathematics_of_musical_scales, mathematics_of_music, the_mathematics_of_western_music, underpinnings_of_musical_scales, math_of_western_music_scale","Music theory has no axiomatic foundation in modern mathematics, although some interesting work has recently been done in this direction, yet the basis of musical sound can be described mathematically and exhibits ""a remarkable array of number properties"".","rapporto_tra_musica_e_matematica, musica_e_matematica, normalizzare_la_scala_musicale, cinetica_musicale, matematica_della_scala, matematica_della_musica, la_matematica_della_musica_occidentale, le_basi_delle_scale, matematica_della_scala_occidentale",YES
,bn:03466395n,,"persian_rap, iranian_hip_hop, aryan_rap, iranian_rap, rap_farsi, persian_hip_hop, aryan_hip_hop","Iranian hip hop, also referred to as Persian hip hop, refers to hip hop music developed in Iran.","rap_persiano, hip_hop_iraniano, rap_iraniano, hip_hop_persiano",YES
,bn:03544145n,,"warabe_uta, warabe-uta","Warabe uta are traditional Japanese songs, similar to nursery rhymes.","warabe_uta, warabe-uta",YES
,bn:03607046n,,"german_punk, deutschpunk, punk_rock_in_germany, german_punk_scene",German punk is punk rock music and punk subculture in Germany since punk music became popular in the 1970s.,"punk_tedesco, deutschpunk, punk_rock_in_germania, scena_punk_tedesca ",YES
