wn_synset,bn:id,pos,lemmata EN,definition,lemmata IT,is it related to music?
,bn:03371505n,,"music_and_mathematics, mathematics_and_music, normalizing_the_musical_scale, musical_kinetics, mathofthewesternmusicalscale, music_and_math, math_and_music, mathematics_of_the_western_music_scale, mathematics_of_musical_scales, mathematics_of_music, the_mathematics_of_western_music, underpinnings_of_musical_scales, math_of_western_music_scale","Music theory has no axiomatic foundation in modern mathematics, although some interesting work has recently been done in this direction, yet the basis of musical sound can be described mathematically and exhibits ""a remarkable array of number properties"".",matematica_della_scala,YES
,bn:03371505n,,"music_and_mathematics, mathematics_and_music, normalizing_the_musical_scale, musical_kinetics, mathofthewesternmusicalscale, music_and_math, math_and_music, mathematics_of_the_western_music_scale, mathematics_of_musical_scales, mathematics_of_music, the_mathematics_of_western_music, underpinnings_of_musical_scales, math_of_western_music_scale","Music theory has no axiomatic foundation in modern mathematics, although some interesting work has recently been done in this direction, yet the basis of musical sound can be described mathematically and exhibits ""a remarkable array of number properties"".",matematica_della_musica,YES
,bn:03371505n,,"music_and_mathematics, mathematics_and_music, normalizing_the_musical_scale, musical_kinetics, mathofthewesternmusicalscale, music_and_math, math_and_music, mathematics_of_the_western_music_scale, mathematics_of_musical_scales, mathematics_of_music, the_mathematics_of_western_music, underpinnings_of_musical_scales, math_of_western_music_scale","Music theory has no axiomatic foundation in modern mathematics, although some interesting work has recently been done in this direction, yet the basis of musical sound can be described mathematically and exhibits ""a remarkable array of number properties"".",la_matematica_della_musica_occidentale,YES
,bn:03371505n,,"music_and_mathematics, mathematics_and_music, normalizing_the_musical_scale, musical_kinetics, mathofthewesternmusicalscale, music_and_math, math_and_music, mathematics_of_the_western_music_scale, mathematics_of_musical_scales, mathematics_of_music, the_mathematics_of_western_music, underpinnings_of_musical_scales, math_of_western_music_scale","Music theory has no axiomatic foundation in modern mathematics, although some interesting work has recently been done in this direction, yet the basis of musical sound can be described mathematically and exhibits ""a remarkable array of number properties"".",le_basi_delle_scale,YES
,bn:03371505n,,"music_and_mathematics, mathematics_and_music, normalizing_the_musical_scale, musical_kinetics, mathofthewesternmusicalscale, music_and_math, math_and_music, mathematics_of_the_western_music_scale, mathematics_of_musical_scales, mathematics_of_music, the_mathematics_of_western_music, underpinnings_of_musical_scales, math_of_western_music_scale","Music theory has no axiomatic foundation in modern mathematics, although some interesting work has recently been done in this direction, yet the basis of musical sound can be described mathematically and exhibits ""a remarkable array of number properties"".",matematica_della_scala_occidentale,YES
,bn:03544145n,,"warabe_uta, warabe-uta","Warabe uta are traditional Japanese songs, similar to nursery rhymes.",warabe_uta,YES
,bn:03544145n,,"warabe_uta, warabe-uta","Warabe uta are traditional Japanese songs, similar to nursery rhymes.",warabe-uta,YES
,bn:03719597n,,"punk_rock_in_california, california_punk_rock, cali_punk, san_francisco_hardcore, californian_hardcore, la_punk_band, east_bay_punk, punk_in_california, californian_punk, punk_rock_scene_in_california, california_punk_band, california_punk, california's_punk_rock_scene, california_punk_scene, california's_punk_rock_culture, punk_rock_culture_in_california","Since the mid 1970s, California has had thriving regional punk rock movements.",california_punk_rock,YES
,bn:03719597n,,"punk_rock_in_california, california_punk_rock, cali_punk, san_francisco_hardcore, californian_hardcore, la_punk_band, east_bay_punk, punk_in_california, californian_punk, punk_rock_scene_in_california, california_punk_band, california_punk, california's_punk_rock_scene, california_punk_scene, california's_punk_rock_culture, punk_rock_culture_in_california","Since the mid 1970s, California has had thriving regional punk rock movements.",hardcore_californiano,YES
,bn:03719597n,,"punk_rock_in_california, california_punk_rock, cali_punk, san_francisco_hardcore, californian_hardcore, la_punk_band, east_bay_punk, punk_in_california, californian_punk, punk_rock_scene_in_california, california_punk_band, california_punk, california's_punk_rock_scene, california_punk_scene, california's_punk_rock_culture, punk_rock_culture_in_california","Since the mid 1970s, California has had thriving regional punk rock movements.",punk_in_california,YES
,bn:03719597n,,"punk_rock_in_california, california_punk_rock, cali_punk, san_francisco_hardcore, californian_hardcore, la_punk_band, east_bay_punk, punk_in_california, californian_punk, punk_rock_scene_in_california, california_punk_band, california_punk, california's_punk_rock_scene, california_punk_scene, california's_punk_rock_culture, punk_rock_culture_in_california","Since the mid 1970s, California has had thriving regional punk rock movements.",punk_californiano,YES
,bn:03719597n,,"punk_rock_in_california, california_punk_rock, cali_punk, san_francisco_hardcore, californian_hardcore, la_punk_band, east_bay_punk, punk_in_california, californian_punk, punk_rock_scene_in_california, california_punk_band, california_punk, california's_punk_rock_scene, california_punk_scene, california's_punk_rock_culture, punk_rock_culture_in_california","Since the mid 1970s, California has had thriving regional punk rock movements.",scena_punk_rock_in_california,YES
,bn:03719597n,,"punk_rock_in_california, california_punk_rock, cali_punk, san_francisco_hardcore, californian_hardcore, la_punk_band, east_bay_punk, punk_in_california, californian_punk, punk_rock_scene_in_california, california_punk_band, california_punk, california's_punk_rock_scene, california_punk_scene, california's_punk_rock_culture, punk_rock_culture_in_california","Since the mid 1970s, California has had thriving regional punk rock movements.",cultura_punk_rock_in_california,YES
,bn:03719597n,,"punk_rock_in_california, california_punk_rock, cali_punk, san_francisco_hardcore, californian_hardcore, la_punk_band, east_bay_punk, punk_in_california, californian_punk, punk_rock_scene_in_california, california_punk_band, california_punk, california's_punk_rock_scene, california_punk_scene, california's_punk_rock_culture, punk_rock_culture_in_california","Since the mid 1970s, California has had thriving regional punk rock movements.",scena_punk_californiana,YES
,bn:03597327n,,"hardcore_punk, hxc, alternative_hardcore, hard_core_punk, hc_punk, hardcore, list_of_hardcore_genres, list_of_hardcore_punk_bands, hardcore_rock, hard-core_punk, extreme_punk, punk/hc, hardcore_punk_rock, heavy_punk, hardcore_punk_albums, hardcore_rock_music, hc_punk_rock, blackened_hardcore, heavy_punk_rock, hardcore_punk_music, list_of_musicians_of_hardcore_punk, speed_music, extreme_punk_rock, hardcore-punk, hardxcore, electronically_influenced_hardcore, nwobhc, hardcore_punk_rock_music, punkcore, hardcore_bands, harsh_punk, hard_punk, hard_core_punk_rock, hardcore_punk_bands, hardcore_punk_subculture, hc_music, new_wave_of_british_hardcore, hardcore_band",Hardcore punk is a punk rock music genre and subculture that originated in the late 1970s.,lista_dei_generi_hardcore,YES
,bn:03597327n,,"hardcore_punk, hxc, alternative_hardcore, hard_core_punk, hc_punk, hardcore, list_of_hardcore_genres, list_of_hardcore_punk_bands, hardcore_rock, hard-core_punk, extreme_punk, punk/hc, hardcore_punk_rock, heavy_punk, hardcore_punk_albums, hardcore_rock_music, hc_punk_rock, blackened_hardcore, heavy_punk_rock, hardcore_punk_music, list_of_musicians_of_hardcore_punk, speed_music, extreme_punk_rock, hardcore-punk, hardxcore, electronically_influenced_hardcore, nwobhc, hardcore_punk_rock_music, punkcore, hardcore_bands, harsh_punk, hard_punk, hard_core_punk_rock, hardcore_punk_bands, hardcore_punk_subculture, hc_music, new_wave_of_british_hardcore, hardcore_band",Hardcore punk is a punk rock music genre and subculture that originated in the late 1970s.,lista_delle_band_hardcore_punk,YES
,bn:03597327n,,"hardcore_punk, hxc, alternative_hardcore, hard_core_punk, hc_punk, hardcore, list_of_hardcore_genres, list_of_hardcore_punk_bands, hardcore_rock, hard-core_punk, extreme_punk, punk/hc, hardcore_punk_rock, heavy_punk, hardcore_punk_albums, hardcore_rock_music, hc_punk_rock, blackened_hardcore, heavy_punk_rock, hardcore_punk_music, list_of_musicians_of_hardcore_punk, speed_music, extreme_punk_rock, hardcore-punk, hardxcore, electronically_influenced_hardcore, nwobhc, hardcore_punk_rock_music, punkcore, hardcore_bands, harsh_punk, hard_punk, hard_core_punk_rock, hardcore_punk_bands, hardcore_punk_subculture, hc_music, new_wave_of_british_hardcore, hardcore_band",Hardcore punk is a punk rock music genre and subculture that originated in the late 1970s.,hardcore_rock,YES
,bn:03597327n,,"hardcore_punk, hxc, alternative_hardcore, hard_core_punk, hc_punk, hardcore, list_of_hardcore_genres, list_of_hardcore_punk_bands, hardcore_rock, hard-core_punk, extreme_punk, punk/hc, hardcore_punk_rock, heavy_punk, hardcore_punk_albums, hardcore_rock_music, hc_punk_rock, blackened_hardcore, heavy_punk_rock, hardcore_punk_music, list_of_musicians_of_hardcore_punk, speed_music, extreme_punk_rock, hardcore-punk, hardxcore, electronically_influenced_hardcore, nwobhc, hardcore_punk_rock_music, punkcore, hardcore_bands, harsh_punk, hard_punk, hard_core_punk_rock, hardcore_punk_bands, hardcore_punk_subculture, hc_music, new_wave_of_british_hardcore, hardcore_band",Hardcore punk is a punk rock music genre and subculture that originated in the late 1970s.,hardcore_punk_rock,YES
,bn:03597327n,,"hardcore_punk, hxc, alternative_hardcore, hard_core_punk, hc_punk, hardcore, list_of_hardcore_genres, list_of_hardcore_punk_bands, hardcore_rock, hard-core_punk, extreme_punk, punk/hc, hardcore_punk_rock, heavy_punk, hardcore_punk_albums, hardcore_rock_music, hc_punk_rock, blackened_hardcore, heavy_punk_rock, hardcore_punk_music, list_of_musicians_of_hardcore_punk, speed_music, extreme_punk_rock, hardcore-punk, hardxcore, electronically_influenced_hardcore, nwobhc, hardcore_punk_rock_music, punkcore, hardcore_bands, harsh_punk, hard_punk, hard_core_punk_rock, hardcore_punk_bands, hardcore_punk_subculture, hc_music, new_wave_of_british_hardcore, hardcore_band",Hardcore punk is a punk rock music genre and subculture that originated in the late 1970s.,album_hardcore_punk,YES
,bn:03597327n,,"hardcore_punk, hxc, alternative_hardcore, hard_core_punk, hc_punk, hardcore, list_of_hardcore_genres, list_of_hardcore_punk_bands, hardcore_rock, hard-core_punk, extreme_punk, punk/hc, hardcore_punk_rock, heavy_punk, hardcore_punk_albums, hardcore_rock_music, hc_punk_rock, blackened_hardcore, heavy_punk_rock, hardcore_punk_music, list_of_musicians_of_hardcore_punk, speed_music, extreme_punk_rock, hardcore-punk, hardxcore, electronically_influenced_hardcore, nwobhc, hardcore_punk_rock_music, punkcore, hardcore_bands, harsh_punk, hard_punk, hard_core_punk_rock, hardcore_punk_bands, hardcore_punk_subculture, hc_music, new_wave_of_british_hardcore, hardcore_band",Hardcore punk is a punk rock music genre and subculture that originated in the late 1970s.,musica_hardcore_rock,YES
,bn:03597327n,,"hardcore_punk, hxc, alternative_hardcore, hard_core_punk, hc_punk, hardcore, list_of_hardcore_genres, list_of_hardcore_punk_bands, hardcore_rock, hard-core_punk, extreme_punk, punk/hc, hardcore_punk_rock, heavy_punk, hardcore_punk_albums, hardcore_rock_music, hc_punk_rock, blackened_hardcore, heavy_punk_rock, hardcore_punk_music, list_of_musicians_of_hardcore_punk, speed_music, extreme_punk_rock, hardcore-punk, hardxcore, electronically_influenced_hardcore, nwobhc, hardcore_punk_rock_music, punkcore, hardcore_bands, harsh_punk, hard_punk, hard_core_punk_rock, hardcore_punk_bands, hardcore_punk_subculture, hc_music, new_wave_of_british_hardcore, hardcore_band",Hardcore punk is a punk rock music genre and subculture that originated in the late 1970s.,heavy_punk_rock,YES
,bn:03597327n,,"hardcore_punk, hxc, alternative_hardcore, hard_core_punk, hc_punk, hardcore, list_of_hardcore_genres, list_of_hardcore_punk_bands, hardcore_rock, hard-core_punk, extreme_punk, punk/hc, hardcore_punk_rock, heavy_punk, hardcore_punk_albums, hardcore_rock_music, hc_punk_rock, blackened_hardcore, heavy_punk_rock, hardcore_punk_music, list_of_musicians_of_hardcore_punk, speed_music, extreme_punk_rock, hardcore-punk, hardxcore, electronically_influenced_hardcore, nwobhc, hardcore_punk_rock_music, punkcore, hardcore_bands, harsh_punk, hard_punk, hard_core_punk_rock, hardcore_punk_bands, hardcore_punk_subculture, hc_music, new_wave_of_british_hardcore, hardcore_band",Hardcore punk is a punk rock music genre and subculture that originated in the late 1970s.,musica_hardcore_punk,YES
,bn:03597327n,,"hardcore_punk, hxc, alternative_hardcore, hard_core_punk, hc_punk, hardcore, list_of_hardcore_genres, list_of_hardcore_punk_bands, hardcore_rock, hard-core_punk, extreme_punk, punk/hc, hardcore_punk_rock, heavy_punk, hardcore_punk_albums, hardcore_rock_music, hc_punk_rock, blackened_hardcore, heavy_punk_rock, hardcore_punk_music, list_of_musicians_of_hardcore_punk, speed_music, extreme_punk_rock, hardcore-punk, hardxcore, electronically_influenced_hardcore, nwobhc, hardcore_punk_rock_music, punkcore, hardcore_bands, harsh_punk, hard_punk, hard_core_punk_rock, hardcore_punk_bands, hardcore_punk_subculture, hc_music, new_wave_of_british_hardcore, hardcore_band",Hardcore punk is a punk rock music genre and subculture that originated in the late 1970s.,lista_di_musicisti_hardcore_punk,YES
,bn:03597327n,,"hardcore_punk, hxc, alternative_hardcore, hard_core_punk, hc_punk, hardcore, list_of_hardcore_genres, list_of_hardcore_punk_bands, hardcore_rock, hard-core_punk, extreme_punk, punk/hc, hardcore_punk_rock, heavy_punk, hardcore_punk_albums, hardcore_rock_music, hc_punk_rock, blackened_hardcore, heavy_punk_rock, hardcore_punk_music, list_of_musicians_of_hardcore_punk, speed_music, extreme_punk_rock, hardcore-punk, hardxcore, electronically_influenced_hardcore, nwobhc, hardcore_punk_rock_music, punkcore, hardcore_bands, harsh_punk, hard_punk, hard_core_punk_rock, hardcore_punk_bands, hardcore_punk_subculture, hc_music, new_wave_of_british_hardcore, hardcore_band",Hardcore punk is a punk rock music genre and subculture that originated in the late 1970s.,hardcore_influenzato_elettronicamente,YES
,bn:03373165n,,"protopunk, proto-punk, proto_punk, proto_punk_rock, protopunk_music, prepunk, protopunk_rock, pre-punk_rock, prepunk_rock, '60s_punk, proto-punk_rock, pre-punk",Proto-punk is the rock music played by garage bands from the 1960s to mid-1970s that presaged the punk rock movement.,musica_protopunk,YES
,bn:03456310n,,"french_pop, french_pop_music",French pop music is pop music sung in the French language.,musica_pop_francese,YES
,bn:03602431n,,"political_hip_hop, political_rap, conscious_rap, political_hip-hop, conscious_hip_hop, intelligent_rap_music, marxist_hip_hop, political_hiphop, conscious_hip-hop, post-hip_hop, rap_politique, conscious_rap_music",Political hip hop is a subgenre of hip hop music that was developed in the 1980s as a way of turning hip hop into a call for political and/or social action and a form of social activism.,hip_hop_marxista,YES
,bn:03602431n,,"political_hip_hop, political_rap, conscious_rap, political_hip-hop, conscious_hip_hop, intelligent_rap_music, marxist_hip_hop, political_hiphop, conscious_hip-hop, post-hip_hop, rap_politique, conscious_rap_music",Political hip hop is a subgenre of hip hop music that was developed in the 1980s as a way of turning hip hop into a call for political and/or social action and a form of social activism.,musica_rap_consapevole,YES
,bn:03516425n,,"permutation, musical_order, krebsgang, order","In music, a permutation of a set is any ordering of the elements of that set.",ordine_musicale,YES
,bn:03314845n,,"russian_opera, russian_opera_in_the_18th_century, russian_opera_articles, list_of_russian_operas, list_of_russian_opera_composers, opera_in_russia_in_the_18th_century, soviet_opera, list_of_russian_opera_articles, the_list_of_russian_opera_articles",Russian opera is the art of opera in Russia.,opera_russa_nel_diciottesimo_secolo,YES
,bn:03314845n,,"russian_opera, russian_opera_in_the_18th_century, russian_opera_articles, list_of_russian_operas, list_of_russian_opera_composers, opera_in_russia_in_the_18th_century, soviet_opera, list_of_russian_opera_articles, the_list_of_russian_opera_articles",Russian opera is the art of opera in Russia.,lista_di_opere_russe,YES
,bn:03314845n,,"russian_opera, russian_opera_in_the_18th_century, russian_opera_articles, list_of_russian_operas, list_of_russian_opera_composers, opera_in_russia_in_the_18th_century, soviet_opera, list_of_russian_opera_articles, the_list_of_russian_opera_articles",Russian opera is the art of opera in Russia.,lista_di_compositori_di_opere_russe,YES
,bn:03314845n,,"russian_opera, russian_opera_in_the_18th_century, russian_opera_articles, list_of_russian_operas, list_of_russian_opera_composers, opera_in_russia_in_the_18th_century, soviet_opera, list_of_russian_opera_articles, the_list_of_russian_opera_articles",Russian opera is the art of opera in Russia.,opera_sovietica,YES
,bn:03314845n,,"russian_opera, russian_opera_in_the_18th_century, russian_opera_articles, list_of_russian_operas, list_of_russian_opera_composers, opera_in_russia_in_the_18th_century, soviet_opera, list_of_russian_opera_articles, the_list_of_russian_opera_articles",Russian opera is the art of opera in Russia.,lista_di_articoli_sull'opera_russa,YES
