wn_synset,bn:id,pos,lemmata EN,definition,lemmata IT,is it related to music?
,bn:15685363n,,"azerbaijani_opera_and_ballet, opera_in_azerbaijan, opera_and_ballet_in_azerbaijan, azerbaijani_opera",Opera in Azerbaijan has a history dating back to the 19th century Russian Empire.,balletto_e_opera_azerbaigiana,YES
,bn:15685363n,,"azerbaijani_opera_and_ballet, opera_in_azerbaijan, opera_and_ballet_in_azerbaijan, azerbaijani_opera",Opera in Azerbaijan has a history dating back to the 19th century Russian Empire.,opera_azerbaigiana,YES
,bn:03542659n,,"nueva_canción, nueva_cancion, canto_nuevo, new_song_movement, nuevo_cancionero","Nueva canción is a left-wing social movement and musical genre in Iberian America and the Iberian peninsula, characterized by folk-inspired styles and socially committed lyrics.",canto_nuevo,YES
,bn:03595684n,,"new_orleans_blues, list_of_new_orleans_blues_musicians","New Orleans blues is a subgenre of blues that developed in and around the city of New Orleans, influenced by jazz and Caribbean music.",lista_di_musicisti_blues_di_new_orleans,YES
,bn:03400526n,,"irish_rebel_music, irish_rebel_song, the_west's_awake, republican_song, irish_rebel_songs, rebel_songs, rebel_song, irish_rebel_singer","In Ireland, a rebel song is a folk song whose lyrics extol the deeds of factual events/participants in any of the various armed rebellions against English, and later British, of unwanted rule in Ireland.",canzone_ribelle_irlandese,YES
,bn:03400526n,,"irish_rebel_music, irish_rebel_song, the_west's_awake, republican_song, irish_rebel_songs, rebel_songs, rebel_song, irish_rebel_singer","In Ireland, a rebel song is a folk song whose lyrics extol the deeds of factual events/participants in any of the various armed rebellions against English, and later British, of unwanted rule in Ireland.",canzone_repubblicana,YES
,bn:03400526n,,"irish_rebel_music, irish_rebel_song, the_west's_awake, republican_song, irish_rebel_songs, rebel_songs, rebel_song, irish_rebel_singer","In Ireland, a rebel song is a folk song whose lyrics extol the deeds of factual events/participants in any of the various armed rebellions against English, and later British, of unwanted rule in Ireland.",canzoni_ribelli_irlandesi,YES
,bn:03400526n,,"irish_rebel_music, irish_rebel_song, the_west's_awake, republican_song, irish_rebel_songs, rebel_songs, rebel_song, irish_rebel_singer","In Ireland, a rebel song is a folk song whose lyrics extol the deeds of factual events/participants in any of the various armed rebellions against English, and later British, of unwanted rule in Ireland.",canzoni_ribelli,YES
,bn:03400526n,,"irish_rebel_music, irish_rebel_song, the_west's_awake, republican_song, irish_rebel_songs, rebel_songs, rebel_song, irish_rebel_singer","In Ireland, a rebel song is a folk song whose lyrics extol the deeds of factual events/participants in any of the various armed rebellions against English, and later British, of unwanted rule in Ireland.",canzone_ribelle,YES
,bn:03400526n,,"irish_rebel_music, irish_rebel_song, the_west's_awake, republican_song, irish_rebel_songs, rebel_songs, rebel_song, irish_rebel_singer","In Ireland, a rebel song is a folk song whose lyrics extol the deeds of factual events/participants in any of the various armed rebellions against English, and later British, of unwanted rule in Ireland.",cantante_ribelle_irlandese,YES
,bn:03269942n,,"secular_music, secular_songs",Non-religious secular music and sacred music were the two main genres of Western music during the Middle Ages and Renaissance era.,canzoni_secolari,YES
,bn:03799791n,,"moravian_church_music, moravian_music",The Moravian musical tradition in United States began with the earliest Moravian settlers in the first half of the 18th century.,musica_della_chiesa_moraviana/morava,YES
,bn:03873627n,,"māori_music, waiata, māori_instrument, māori_instruments, maori_music","Traditional Māori music, or pūoro Māori, is composed or performed by Māori, the native people of New Zealand, and includes a wide variety of folk music styles, often integrated with poetry and dance.",strumento_maori,YES
,bn:03873627n,,"māori_music, waiata, māori_instrument, māori_instruments, maori_music","Traditional Māori music, or pūoro Māori, is composed or performed by Māori, the native people of New Zealand, and includes a wide variety of folk music styles, often integrated with poetry and dance.",strumenti_maori,YES
,bn:03469469n,,"contemporary_catholic_liturgical_music, contemporary_catholic_music, catholic_liturgical_music, contemporary_catholic_hymnody, catholic_hymnody, catholic_music",Contemporary Catholic liturgical music encompasses a comprehensive variety of styles of music for Catholic liturgy that grew both before and after the reforms of the Second Vatican Council.,musica_liturgica_cattolica,YES
,bn:03469469n,,"contemporary_catholic_liturgical_music, contemporary_catholic_music, catholic_liturgical_music, contemporary_catholic_hymnody, catholic_hymnody, catholic_music",Contemporary Catholic liturgical music encompasses a comprehensive variety of styles of music for Catholic liturgy that grew both before and after the reforms of the Second Vatican Council.,musica_cattolica,YES
,bn:03391449n,,"hindustani_classical_music, hindustani_music, hindustani_sangeet, north_indian_classical_music, northern_indian_classical_music, pakistani_classical_music, hindustani_classical, classical_music_of_pakistan, hindi-urdu_classical_music, traditional_music_of_pakistan, hindustani_classical_singing, śāstriya_saṅgīt, list_of_hindustani/_north_indian_music_composers, classical_pakistani_music, north_indian_music, gayaki, hindustani_classical_singer",Hindustani classical music is the classical music of northern regions of the Indian subcontinent.,musica_classica_del_nord_dell'india,YES
,bn:03391449n,,"hindustani_classical_music, hindustani_music, hindustani_sangeet, north_indian_classical_music, northern_indian_classical_music, pakistani_classical_music, hindustani_classical, classical_music_of_pakistan, hindi-urdu_classical_music, traditional_music_of_pakistan, hindustani_classical_singing, śāstriya_saṅgīt, list_of_hindustani/_north_indian_music_composers, classical_pakistani_music, north_indian_music, gayaki, hindustani_classical_singer",Hindustani classical music is the classical music of northern regions of the Indian subcontinent.,musica_classica_pakistana,YES
