wn_synset,bn:id,pos,lemmata EN,definition,is it related to music?
,bn:00959311n,n,"delta_blues, mississippi_delta_blues",Delta blues is one of the earliest-known styles of blues.,CHECK
,bn:00959612n,n,"funk_metal, funk-metal, thrash_funk, funkcore, hardcore_funk",Funk metal is a fusion genre of funk rock and alternative metal which infuses heavy metal music with elements of funk and punk rock.,CHECK
,bn:00959751n,n,"glam_metal, pop_metal, hair_metal, hair_band, hair_bands, big_hair_band, 80's_metal, post-glam_metal, heavy_glam_rock, light_metal, west_coast_metal, sleaze_metal, pop-metal, new_wave_metal, glitter_metal, big_hair, bubblegum_metal, glam_metal_revival","Glam metal, also known as hair metal or pop metal, is a subgenre of heavy metal, which features pop-influenced hooks and guitar riffs, and borrows heavily from the fashion and image of 1970s glam rock.",CHECK
,bn:00961013n,n,"raga_rock, raga_metal, raga-rock","Raga rock is rock or pop music with a pronounced Indian influence, either in its construction, its timbre, or its use of Indian musical instruments, such as the sitar and tabla.",CHECK
,bn:00962191n,n,"rock_music_in_lithuania, lithuanian_rock",Rock music has been performed and heard in Lithuania since the mid-1960s.,CHECK
,bn:00962539n,n,mbira_music,"In Zimbabwean music, mbira music is music played on an mbira, a traditional instrument of the Shona people of Zimbabwe.",CHECK
,bn:00962587n,n,"country_blues, folk_blues, downhome_blues, rural_blues, backwoods_blues, acoustic_blues, folk/blues, blues_folk, blues_country, folk-blues",Country blues is one of the earliest forms of blues music.,CHECK
,bn:00962612n,n,"louisiana_blues, list_of_louisiana_blues_musicians",Louisiana blues is a genre of blues music that developed in the period after World War II in the state of Louisiana.,CHECK
,bn:00962631n,n,"swamp_blues, list_of_swamp_blues_musicians",Swamp blues is a type of Louisiana blues that developed around Baton Rouge in the 1950s and 1960s.,CHECK
,bn:00962663n,n,"new_orleans_rhythm_and_blues, new_orleans_rhythm_&_blues, new_orleans_sound, the_new_orleans_sound, new_orleans_r&b, new_orleans_rhythm_'n'_blues",New Orleans rhythm and blues is a style of rhythm and blues music that originated in the U.S. city of New Orleans.,CHECK
,bn:00962668n,n,piano_blues,"Пиано блус означава различните блус стилове, които използват като основен инструмент пианото.",CHECK
,bn:00962690n,n,"west_coast_blues, western_blues","The West Coast blues is a type of blues influenced by jazz and jump blues, with strong piano-dominated sounds and jazzy guitar solos, which originated from Texas blues players who relocated to California in the 1940s.",CHECK
,bn:00963445n,n,"highlife, high-life, highlife_music, reggae_highlife, highlife_fusion","Highlife is a music genre that originated in present-day Ghana early in the 20th century, during its history as a colony of the British Empire.",CHECK
,bn:00963466n,n,"piedmont_blues, piedmont_fingerstyle","Piedmont blues refers primarily to a guitar style, which is characterized by a fingerpicking approach in which a regular, alternating thumb bass string rhythmic pattern supports a syncopated melody using the treble strings generally picked with the fore-finger, occasionally others.",CHECK
,bn:00963476n,n,new_york_blues,New York blues is een subgenre van bluesmuziek.,CHECK
,bn:00964180n,n,"british_blues, english_blues, british_blues_music, british_blues_boom, british_acoustic_blues, british_electric_blues","British blues is a form of music derived from American blues that originated in the late 1950s, and reached its height of mainstream popularity in the 1960s.",CHECK
,bn:00964189n,n,"dream_pop, dream-pop, dreampop, dream, dream_rock",Dream pop is a subgenre of alternative rock and neo-psychedelia that developed in the 1980s.,CHECK
,bn:00965223n,n,"hiplife, hip_life",Hiplife is a Ghanaian musical style that fuses Ghanaian culture and hip hop.,CHECK
,bn:00965762n,n,"makossa, makassi, makosa",Makossa is a noted Cameroonian popular urban musical style.,CHECK
,bn:00965831n,n,"americana, typicaly_american","Americana artifacts are related to the history, geography, folklore and cultural heritage of the United States of America.",CHECK
,bn:00966475n,n,"roots_revival, popularization_of_traditional_music, folk_revival, popularization_of_folk_music, folk_&_blues_revival, folk_music_revival",A roots revival is a trend which includes young performers popularizing the traditional musical styles of their ancestors.,CHECK
,bn:00967206n,n,acid_trance,Acid trance is a genre of trance music that emerged in the late 1980s and early 1990s focusing on using the acid sound.,CHECK
,bn:00967647n,n,"illbient, list_of_illbient_musicians",Illbient is a genre of electronic music.,CHECK
,bn:00969324n,n,"klezmer, klezmer_music, klesmer, kletzmer, freilach_music, klezmer_band, kelzmer, klesmer_band, yiddish_music, freilech_music, kletzmer_music, kapelye, kleizmer",Klezmer is an instrumental musical tradition of the Ashkenazi Jews of Central and Eastern Europe.,YES
,bn:00969454n,n,"tro_u, tro_ou",0,YES
,bn:00970191n,n,spoken_word_album,"A spoken word album is a recording of spoken material, a predecessor of the contemporary audiobook genre.",YES
,bn:00972185n,n,kertok,Kertok is a type of musical ensemble that consists of the xylophone played in traditional Malay functions/an instrument.,YES
,bn:00972325n,n,"roneat_ek, ronneat_rut",The Roneat Ek or Roneat Aek is a xylophone used in the Khmer classical music of Cambodia.,YES
,bn:00973402n,n,"roneat_dek, roneat_thong","The roneat dek is a Cambodian metallophone, comparible to the Roneat ek.",YES
,bn:00973543n,n,roneat_thung,The Roneat Thung or Roneat Thum is a low-pitched xylophone used in the Khmer classical music of Cambodia.,YES
,bn:00975444n,n,"nevel, nebel, nabla",The nevel or nebel was a stringed instrument used by the ancient Hebrew people.,YES
,bn:00979425n,n,choral_symphony,"A choral symphony is a musical composition for orchestra, choir, and sometimes solo vocalists that, in its internal workings and overall musical architecture, adheres broadly to symphonic musical form.",YES
,bn:00980419n,n,"nazi_punk, white_power_punk, nazicore, hitlerist_punk, nazi_punks, nazi_hardcore, hate_punk, national_socialist_punk, nazipunk, fascist_punk, hatecore, nazcore",A Nazi punk is a neo-Nazi who is part of the punk subculture.,CHECK
,bn:00980543n,n,"organum, organums",An organum is any one of a number of musical instruments which were the forerunners of the organ.,YES
,bn:00980874n,n,"45_rpm_adapter, 45_adapter",A 45 rpm adapter is a small plastic or metal insert that goes in the middle of a 45-rpm record so it can be played on the standard size spindle of a turntable.,YES
,bn:00986925n,n,"music_librarianship, music_librarian","Music librarianship is the area of librarianship that pertains to music collections and their development, cataloging, preservation and maintenance, as well as reference issues connected with musical works and music literature.",YES
,bn:00987882n,n,"rhythmic_noise, power_noise, rhythm_'n'_noise, industrial_hardcore, techno-industrial, raoul_roucka, power_noize, technoid, harsh_noise, powernoise, rhythmic_noize, industrial_techno, powernoize, phil_philter, noisex",Power noise is a form of industrial music and a fusion of noise music and various styles of electronic dance music.,CHECK
,bn:00989964n,n,"guerrilla_gig, guerilla_gig, guerilla_concert, guerrilla_gigs",A Guerrilla gig is a type of concert performed in a non-traditional setting or arranged in an unusual fashion.,YES
,bn:00990180n,n,"piano_trio, piano_trios","A piano trio is a group of piano and two other instruments, usually a violin and a cello, or a piece of music written for such a group.",YES
,bn:00992023n,n,"guaracha, guarachas, guarachera, guarachero","The guaracha is a genre of music that originated in Cuba, of rapid tempo and comic or picaresque lyrics.",CHECK
,bn:00992680n,n,chuk,The chuk is a traditional Korean musical instrument used in Confucian and Royal Ancestral Shrine ceremonies to signal the beginning of a ritual music performance.,YES
,bn:00993226n,n,"tiento, tientos",Tiento is a musical genre originating in Spain in the mid-15th century.,CHECK
,bn:00993423n,n,bumper_music,"Bumper music, or a bump, is a term used in the radio broadcasting industry to refer to short clips of list of signature songs or theme music used to buffer transitions between programming elements, typically lasting no longer than fifteen seconds.",YES
,bn:00994365n,n,"reggae_rock, reggae_metal, reggae-rock, cali_reggae, rock_reggae, ragga_metal","Reggae rock is a subgenre of reggae fusion and rock music that primarily uses the genres reggae, rock and ska.",CHECK
,bn:00994421n,n,"playing_by_ear, learning_music_by_ear, taught_by_ear, learning_by_ear, play_by_ear","Playing or learning by ear is the ability of a performing musician to reproduce a piece of music they have heard, without having seen it notated in any form of sheet music.",YES
,bn:00994479n,n,"modular_synthesizer, modular_synth, modular, semi-modular_synthesizer, modular_synthesis, modular_synthesiser, modular_synthesizers",Modular synthesizers are synthesizers composed of separate modules of different functions.,YES
,bn:00994483n,n,calypso_tent,Calypso tents are venues in which calypsonians perform during the Carnival season.,YES
,bn:00994589n,n,homotonal,Homotonal is a technical musical term pertaining to the tonal structure of multi-movement compositions.,YES
,bn:00994946n,n,"folk_punk, 2000s_folk_punk, 1990s_folk_punk, folk-punk, rogue_folk, 1970s_folk_punk, list_of_folk_punk_bands, folkcore",Folk punk is a fusion of folk music and punk rock.,CHECK
,bn:00996546n,n,symphonic_organ,"The symphonic organ is a style of pipe organ that flourished during the first three decades of the 20th century in town halls and other secular public venues, particularly in the United States and the United Kingdom.",YES
,bn:00996547n,n,"early_hardcore, gabber, hardcore_house, rotterdam_hardcore, rotterdam_techno, gabber_music","Gabber, is a style of electronic music and a subgenre of hardcore techno.",CHECK
,bn:00998320n,n,"granular_synthesis, grain, musical_grain, granular_music, granularization, glisson_synthesis, síntese_granular, granular",Granular synthesis is a basic sound synthesis method that operates on the microsound time scale.,YES
,bn:01000037n,n,"octatonic_scale, 8-28, diminished_scale, β_chord, octatonic_mode, pijper's_scale, pijper_scale, beta_chord, α_chord, alpha_chord, alpha_chord_collection, 8_note_scale, octotonic_scale, gamma_chord, octatonic, γ_chord, golden_section_chord",An eight-note scale made up of alternating semitones and whole tones.,YES
,bn:01002065n,n,online_music_education,Online music education is a recent development in the field of music education consisting of the application of new technologies associated with distance learning and online education for the purpose of teaching and learning music in an online environment mediated by computers and the internet.,YES
,bn:01005503n,n,"covermount, cover_disk, cover_mount, coverdisk, cover_tape, cover_tape/disk, cover_disc, coverdisc",Covermount is the name given to storage media or other products packaged as part of a magazine or newspaper.,YES
,bn:01005757n,n,"soloist, first_soloist","In ballet, a soloist is a dancer in a ballet company above the corps de ballet but below principal dancer.",YES
,bn:01006000n,n,,呢個音樂作品一覽記錄歌手張學友歷年出嘅嘅音樂作品。,CHECK
,bn:01007102n,n,"microsound, micro_sound, microtime","Microsound includes all sounds on the time scale shorter than musical notes, the sound object time scale, and longer than the sample time scale.",YES
,bn:01007377n,n,"acoustic_feedback, audio_feedback, feedback, larsen_effect, guitar_feedback, guitar_feed_back, drum_feedback, pitched_feedback, larson_effect, microphone_hum, guitar_feedback"", howling, acoustic_regeneration, microphone_feedback, the_larsen_effect",Audio feedback is a special kind of positive loop gain which occurs when a sound loop exists between an audio input and an audio output.,YES
,bn:01007570n,n,"sound_object, objet_sonore",In electronic music theory and electronic composition theory a sound object 1 corresponds with a primary unit of music such that could be played on an instrument or sung by a vocalist.,YES
,bn:01011896n,n,,Biofoonia on eluhäälte kogum ökosüsteemi helimaastikus.,CHECK
,bn:01012025n,n,"guitar_tuning, open_tuning, eb_tuning, dropped_tuning, guitar_tunings, alternate_tuning, d♯g♯c♯f♯a♯d♯, down-tuned_guitar, drop_tunings, e♭a♭d♭g♭b♭e♭, crossnote_tunings, drop_tuning, altered_tuning, crossnote_tuning, d_tuning, old_standard_tuning, e-flat_tuning, e_tuning, e_flat_tuning, open_tunings, half_step_down, alternate_tunings, cgcfad, e♭_tuning, alternative_tuning, altered_guitar_tuning, cross-note_tuning, standard_guitar-tuning, alternative_guitar-tunings, dgcfad, dgdgbd, modal_tuning, alternative_tunings, standard_guitar_tuning, down-tuned_guitars, downtuned_guitar","Guitar tunings assign pitches to the open strings of guitars, including acoustic guitars, electric guitars, and classical guitars.",YES
,bn:01012270n,n,"bock-a-da-bock, bock_a_da_bock",The Bock-a-da-bock is an idiophone type of musical instrument in the percussion family.,YES
,bn:01012839n,n,"latin_rap, latin_hip_hop, latin_hip-hop, latino_rap, latino_hip-hop, mexican_hip_hop, latin_american_hip-hop","Latin hip hop or Latin rap is hip hop music recorded by Latin American artists in the United States and Spanish-speaking countries in the Caribbean, Central America and South America.",CHECK
,bn:01013102n,n,"aleatoricism, aleatory, aleatorist, aleatoric, aleatorism, random_literature, aleatorial","Aleatoricism or aleatorism, the noun associated with the adjectival aleatory and aleatoric is a term popularised by the musical composer Pierre Boulez, but also Witold Lutosławski and Franco Evangelisti, for compositions resulting from ""actions made by chance"", with its etymology deriving from alea, Latin word for ""dice"".",YES
,bn:01013542n,n,australian_thrash_metal,Australian thrash metal is a regional scene of thrash metal music that originated during the late 1980s.,CHECK
,bn:01014201n,n,fann_at-tanbura,"Fann aṭ-Ṭanbūra is a traditional music and dance genre in the Arab states of the Persian Gulf, especially Bahrain, Kuwait and Oman.",CHECK
,bn:01014310n,n,"manjur, mangour",The manjur is a musical instrument used in the Arab states of the Persian Gulf but with East African origins.,YES
,bn:01014683n,n,indigenous_music,"Indigenous music is a term for the traditional music of the indigenous peoples of the world, that is, the music of an ""original"" ethnic group that inhabits any geographic region alongside more recent immigrants who may be greater in number.",YES
,bn:01016021n,n,"talk_box, talking_guitar, talk_boxes, electrospit, talk-box, talkbox, talk_box_guitar, voice_box, sonovox, singing_guitar",A talk box is an effects unit that allows musicians to modify the sound of a musical instrument by shaping the frequency content of the sound and to apply speech sounds onto the sounds of the instrument.,YES
,bn:01017289n,n,"mudra, mudras_in_indian_music, list_of_pen_names_of_hindustani_musicians","Mudra is the unique signature of a Carnatic music composer, which is woven into some or all of their respective compositions.",YES
,bn:01019468n,n,"game_piece, file-card_composition","Game piece is a concept of experimental music having its roots with composers Iannis Xenakis, Christian Wolff, John Zorn and Mathius Shadow-Sky.",CHECK
,bn:01019710n,n,bonus_track,Additional/extra track on a music release,YES
,bn:01022951n,n,"sound_mass, sound-mass, soundmass, fused_timbre, klangflächenmusik, ensemble_timbre","In musical composition, a sound mass is the result of compositional techniques, in which, ""the importance of individual pitches,"" is minimized, ""in preference for texture, timbre, and dynamics as primary shapers of gesture and impact,"" obscuring, ""the boundary between sound and noise"".",YES
,bn:01028300n,n,"sound_art, sonic_art, sound_artist, audio_art",Sound art is an artistic discipline in which sound is utilised as a primary medium.,YES
,bn:01028582n,n,azione_teatrale,"Azione teatrale is a genre of opera, popular in Italy and southern Europe in the late 17th and 18th centuries.",YES
,bn:01029157n,n,"samba-rock, samba_rock, samba_soul, samba-soul","Samba rock is a Brazilian dance culture and music genre that fuses samba with soul, rock, and funk.",CHECK
,bn:01029724n,n,"coro-pregón, coro-pregon, call-response, guía-coro, guia-coro","Coro-pregón in Afro-Cuban music and Cuban-based Latin music, most of all salsa, but also in some non-Cuban genres like merengue and bachata, refers to a call and response section between the lead singer and the coro.",YES
,bn:01030496n,n,spin,"In radio broadcasting, a spin is a single play of a song.",YES
,bn:01031576n,n,musical_short,The musical short can be traced back to the earliest days of sound films.,YES
,bn:01033785n,n,"pakistani_music_journalism, pakistan_music_journalism",Music journalism in Pakistan has grown especially with the growth of the country's pop music industry and scene.,CHECK
,bn:01034360n,n,"filmi_pop, filmi-pop","Filmi pop is a term first coined by Pakistani music journalist, Ali Tim in 1990 but made famous by the country's most influential pop critic, Nadeem F. Paracha.",CHECK
,bn:01034353n,n,"sufi_rock, sufi-rock, muslim_rock",Sufi rock or Sufi folk rock is a subgenre of rock music that combines rock with classical Islamic sufi music traditions.,CHECK
,bn:01034658n,n,"mirwas, marwas, marawis","The mirwās or marwas, plural marāwīs is a small double-sided hand drum originally from the Middle East.",YES
,bn:01034697n,n,"shuffle_play, shuffle_mode, 🔀",Shuffle play is a mode of music playback in which songs are played in a randomized order that is decided upon for all tracks at once.,YES
,bn:01034703n,n,"bell_chord, bell_effect",Optional.empty,YES
,bn:01034813n,n,echo_machine,Kaikulaitteella lisätään ääneen keinotekoisesti kaikua.,YES
,bn:01035237n,n,"heldenbaritone, heroic_baritone","A Heldenbaritone, also known as dramatic bass-baritone or hoher bass, is an opera singer, a German dramatic baritone.",YES
,bn:01035769n,n,"popular_music_pedagogy, rock_music_pedagogy, popular_music_education, rock_music_education","Popular music pedagogy — alternatively called popular music education, rock music pedagogy, or rock music education — is a development in music education consisting of the systematic teaching and learning of popular music both inside and outside formal classroom settings.",YES
,bn:01036036n,n,"record_chart, meletop, music_chart, singles_chart, hit_chart, record_charts, chart_position, chart_hit, music_charts, single_chart, hit_list, chilean_singles_chart, single_charts, top_20, singles_charts, top_10, popularity_chart, chart_topper, musical_chart, album_charts, hit_charts, chart-topper, pop_chart, albums_chart","A record chart, also called a music chart, is a ranking of recorded music according to certain criteria during a given period.",YES
,bn:01036253n,n,"drum_stick, soft_stick, 5a, drum_sticks, drumstick","A drumstick is a type of percussion mallet used particularly for playing snare drum, drum kit and some other percussion instruments, and particularly for playing unpitched percussion.",YES
,bn:01037957n,n,"record_collecting, vinyl_snob, crate_digger, music_collecting, vinyl_fetishist, crate_digging, record_collector","Record collecting is the hobby of collecting sound recordings, usually of music, but sometimes ""spoken word""",YES
,bn:01038148n,n,"community_band, community_bands, municipal_band",A community band is a concert band or brass band ensemble composed of volunteer amateur musicians in a particular geographic area.,YES
,bn:01038927n,n,"back_spinning, backspin","Back spinning describes the act of manually manipulating a vinyl record, using enough force to cause the record to spin backward.",YES
,bn:01039135n,n,mascherata,A mascherata is a dance from the sixteenth century and was particularly popular in Florence.,YES
,bn:01039546n,n,"music_executive, record_executive, music_exec, record_industry_executive, music_industry_executive, record_exec","A music executive or record executive is a person within a record label who works in senior management, making executive decisions over the label's artists.",YES
,bn:01039716n,n,"na_mele_paleoleo, mele, mele_paleoleo",Nā mele paleoleo is a contemporary form of Hawaiian music that cuts and mixes American hip hop with Hawaiian rapping.,YES
,bn:01041740n,n,"detroit_techno, detroit_electro, detroit_house",Detroit techno is a type of techno music that generally includes the first techno productions by Detroit-based artists during the 1980s and early 1990s.,CHECK
,bn:01043955n,n,"dance-punk, disco-punk, disco_punk, dance_punk, punk_funk, funk-punk, alternative_dance_punk, techno-punk, funk_punk, punk_dance, dancepunk, dance_indie, punk-funk","Dance-punk is a post-punk genre that emerged in the late 1970s, and is closely associated with the post-disco and new wave movements.",CHECK
