wn_synset,bn:id,pos,lemmata EN,definition,is it related to music?
,bn:00000627n,n,"accelerando, halo, nightfall, accelenrando, lobsters, survivor",A gradually increasing tempo of music,YES
,bn:00000968n,n,"auditory_hallucination, acousma, paracusia, auditory_hallucinations, audio_hallucination, auditory_verbal_hallucinations, voice_hearing",Illusory auditory perception of strange nonverbal sounds,CHECK
,bn:00000980n,n,acoustic_phenomenon,A physical phenomenon associated with the production or transmission of sound,YES
,bn:00000972n,n,"acoustic_delay_line, sonic_delay_line",A delay line based on the time of propagation of sound waves,CHECK
,bn:00000973n,n,acoustic_device,A device for amplifying or transmitting sound,YES
,bn:00000982n,n,"sound_projection, acoustic_projection, projection",The acoustic phenomenon that gives sound a penetrating quality,YES
,bn:00000981n,n,"sound_pressure_level, acoustic_power, acoustic_level",The physical intensity of sound,YES
,bn:00000976n,n,"acoustic_impedance, acoustic_reactance, acoustic_resistance, characteristic_acoustic_impedance, characteristic_impedance_of_a_medium_for_longitudinal_waves, characteristic_impedance_of_a_medium, acoustical_impedance, characteristic_specific_acoustic_impedance, radiation_impedence, impedance_curve, sound_impedance, volume_velocity, specific_acoustic_impedance",Opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component,CHECK
,bn:00000987n,n,acoustician,A physicist who specializes in acoustics,YES
,bn:00000983n,n,acoustic_radiation_pressure,(acoustics) the pressure exerted on a surface normal to the direction of propagation of a sound wave,CHECK
,bn:00000977n,n,"ear_canal, external_auditory_canal, auditory_canal, acoustic_meatus, external_auditory_meatus, auditory_meatus, external_acoustic_meatus, meatus_acusticus_externus, ear_canals, external_ear_canal, external_acoustic_meatis, external_ear_canals, external_acoustic_canal",Either of the passages in the outer ear from the auricle to the tympanic membrane,CHECK
,bn:00000984n,n,"sound_spectrum, acoustic_spectrum",The distribution of energy as a function of frequency for a particular sound source,CHECK
,bn:00000988n,n,"phonophobia, acousticophobia, sonophobia, fear_of_sounds, phonophobe, aversion_to_sounds, ligyrophobia, fear_of_noise, hypersensitivity_to_sounds, fear_of_voices, fear_of_loud_sounds, phono_phobia, phonobia",A morbid fear of sounds including your own voice,CHECK
,bn:00000989n,n,"acoustics, acoustical_science, acoustic_sensor, acoustical_data, acoustical, history_of_acoustics, acoustic_measurements_and_instrumentation, subdisciplines_of_acoustics, acustica, mechanical_radiation",The study of the physical properties of sound,YES
,bn:00000986n,n,"sound_wave, acoustic_wave, sound_propagation, sound, pressure_wave",(acoustics) a wave that transmits sound,YES
,bn:00001238n,n,adagio,A slow section of a pas de deux requiring great skill and strength by the dancers,YES
,bn:00002139n,n,"hem, ahem","The utterance of a sound similar to clearing the throat; intended to get attention, express hesitancy, fill a pause, hide embarrassment, warn a friend, etc.",YES
,bn:00002201n,n,air_alert,The warning signal that begins a period of preparation for an enemy air attack,YES
,bn:00002234n,n,"air_horn, goal_horn, handy_horn, rape_horn, gas_horn, airhorn",A pneumatic horn,YES
,bn:00002414n,n,"alarm_bell, tocsin",The sound of an alarm (usually a bell),YES
,bn:00002798n,n,all_clear,A signal (usually a siren) that danger is over,YES
,bn:00002829n,n,allegro_con_spirito,Lively with spirit,CHECK
,bn:00003148n,n,alto,(of a musical instrument) the second highest instrument in a family of musical instruments,YES
,bn:00003149n,n,alto,The pitch range of the lowest female voice,YES
,bn:00003327n,n,"plagal_cadence, amen_cadence",A cadence (frequently ending church music) in which the chord of the subdominant precedes the chord of the tonic,YES
,bn:00004023n,n,anechoic_chamber,A chamber having very little reverberation,CHECK
,bn:00004083n,n,"angelus_bell, angelus",The sound of a bell rung in Roman Catholic churches to announce the time when the Angelus should be recited,YES
,bn:00004715n,n,"antiphonary, antiphonal, antiphonaries, antiphoner, vesperale_romanum, antiphonel",Bound collection of antiphons,CHECK
,bn:00004828n,n,apache_devil_dance,A ritual dance of the Apache,YES
,bn:00004827n,n,"apache_dance, apache, la_danse_apache, apache_turn, tough_dance, bowery_waltz",A violent fast dance in French vaudeville (an apache is a member of the French underworld),YES
,bn:00005052n,n,"applauder, clapper, whip, slapstick",Someone who applauds,CHECK
,bn:00005256n,n,"arabesque, arabesque_penché, arabesque_penchée",Position in which the dancer has one leg raised behind and arms outstretched in a conventional pose,YES
,bn:00006186n,n,artiste,A public performer (a dancer or singer),YES
,bn:00006998n,n,"attack, tone-beginning",A decisive manner of beginning a musical tone or phrase,YES
,bn:00007019n,n,"hearer, listener, auditor, attender",Someone who listens attentively,CHECK
,bn:00007094n,n,"audibility, audibleness",Quality or fact or degree of being audible or perceptible by the ear,CHECK
,bn:00007104n,n,audio,The sound elements of television,CHECK
,bn:00007109n,n,audiocassette,A cassette for audiotape,YES
,bn:00007105n,n,"audio_amplifier, amplifier",An amplifier that increases the amplitude of reproduced sound,YES
,bn:00007102n,n,"audio_frequency, audio, audible_frequency, sound_frequency, audio-frequency, af, audio_frequencies",An audible acoustic wave frequency,YES
,bn:00007106n,n,"audio_cd, audio_compact_disc",Compact discs used to reproduce sound (voice and music),YES
,bn:00007126n,n,auditory_apparatus,All of the components of the organ of hearing including the outer and middle and inner ears,YES
,bn:00007128n,n,auditory_center,The part of the brain (in a fold of the cerebral cortex of the temporal lobe on both sides of the brain) that receives impulses from the ear by way of the auditory nerve,YES
,bn:00007132n,n,auditory_ossicle,Ossicles of the middle ear that transmit acoustic vibrations from the eardrum to the inner ear,CHECK
,bn:00007127n,n,"auditory_cortex, primary_auditory_cortex, auditory_area, a1, secondary_auditory_cortex, posterior_transverse_temporal_area_42, anterior_transverse_temporal_area_41, auditory_processing",The cortical area that receives auditory information from the medial geniculate body,YES
,bn:00007130n,n,"hyperacusis, hyperacusia, auditory_hyperesthesia, hyperacousis",Abnormal acuteness of hearing due to increased irritability of the sensory neural mechanism; characterized by intolerance for ordinary sound levels,YES
,bn:00007124n,n,"auditorium, auditoriums, auditoria, auditorium_site, imperial_box, screens, continental_seating",The area of a theater or concert hall where the audience sits,YES
,bn:00007120n,n,"hearing, auditory_sense, sense_of_hearing, audition, auditory_modality, human_hearing, auditive_perception, hear, hearing_protection, art_of_listenning, aural, auditory_perception, audioception, ear_protection_device, ear_protective_devices, ear_protective_device, underwater_hearing",The ability to hear; the auditory faculty,YES
,bn:00007377n,n,"hooter, automobile_horn, horn, car_horn, motor_horn",A device on an automobile for making a warning noise,YES
,bn:00007596n,n,"bel, b",A logarithmic unit of sound intensity equal to 10 decibels,CHECK
,bn:00007601n,n,"licorice_stick, b-flat_clarinet",The ordinary clarinet with a middle range,YES
,bn:00007613n,n,baa,The cry made by sheep,YES
,bn:00007635n,n,babel,A confusion of voices and other sounds,YES
,bn:00007665n,n,"parlor_grand_piano, parlor_grand, baby_grand_piano, parlour_grand, parlour_grand_piano, baby_grand",A small grand piano,YES
,bn:00007775n,n,backfire,A loud noise made by the explosion of fuel in the manifold or exhaust of an internal combustion engine,YES
,bn:00007789n,n,"background_noise, ground_noise, ambient_noise",Extraneous noise contaminating sound measurements that cannot be separated from the desired signal,YES
,bn:00007788n,n,"background_level, noise_level",The amplitude level of the undesired background noise,CHECK
,bn:00008123n,n,ball,The people assembled at a lavish formal dance,YES
,bn:00008128n,n,"ball, formal, ball_dance, balls, charity_ball, society_ball",A lavish dance requiring formal attire,YES
,bn:00008170n,n,ballet_mistress,A woman who directs and teaches and rehearses dancers for a ballet company,YES
,bn:00008164n,n,"ballerina, danseuse",A female ballet dancer,YES
,bn:00008171n,n,ballet_position,Classical position of the body and especially the feet in ballet,YES
,bn:00008169n,n,"ballet_master, premier_maître_de_ballet, premier_maitre_de_ballet, balletmaster, maitre_de_ballet, maître_de_ballet, premier_maitre_de_ballet_en_chef, maître_de_ballet_en_chef, maitre_de_ballet_en_chef, balletmasters, premier_maître_de_ballet_en_chef, ballet_mistresses, paul_talgioni, maría_de_ávila, ballet_masters, paul_taglioni, maria_de_avila",A man who directs and teaches and rehearses dancers for a ballet company,YES
,bn:00008173n,n,balletomane,A ballet enthusiast,YES
,bn:00008172n,n,"tutu, ballet_tutu, ballet_skirt, ballerina_tootoo, ballet_dress",Very short skirt worn by ballerinas,CHECK
,bn:00008167n,n,"ballet_company, ballet_companies_in_france, ballet_companies_in_canada, ballet_companies_in_denmark, ballet_companies_in_korea, ballet_companies_in_sweden, ballet_companies_in_china, ballet_companies_in_italy, ballet_companies_in_switzerland, ballet_companies_in_the_philippines, ballet_companies_in_australia, ballet_companies_in_the_united_kingdom, ballet_companies",A company that produces ballets,YES
,bn:00008168n,n,"ballet_dancer, ballerina, ballet_dancers, prima_ballerinas, premier_sujet, primae_ballerinae, ballarina_dancer, coryphee, ballerinos, coryphée, ballerino, primera_bailarina, premiere_danseuse, absoluta, premier_danseur_noble, danseurs, assolutas, ballarina_dancers, sujet, ballerinas",A trained dancer who is a member of a ballet company,YES
,bn:00008165n,n,"ballet, concert_dance, theatre_dance, performance_dance, dance_theatre, dance_theater, scenic_dance, ballets, 1939_ballet_premieres, 20th_century_concert_dance, ballett, performance_dances, show_dance, 2011_ballet_premieres, 1914_ballet_premieres, 1940_ballet_premieres, stage_dance, ballet_competitions, ballet_dance, showdance, un/locode:inblt, classical_dance, ballet_schools, ballet_characters, balletomanes, ballet_dancing, dance_performance, 1915_ballet_premieres, ballet_teachers, concert_dancer, balet, 1916_ballet_premieres, balletto, 1938_ballet_premieres, balletti",A theatrical representation of a story that is performed to music by trained dancers,YES
,bn:00008324n,n,bandwagon,A large ornate wagon for carrying a musical band,YES
,bn:00008321n,n,"bandstand, stand, outdoor_stage, band_stand, bandshell, music_kiosk, bandstands, band_rotunda",A platform where a (brass) band can play in the open air,YES
,bn:00008361n,n,"banjo, tenor_banjo, 4-string_banjo, benjo, 5-string_banjo, open_back_banjo, banjo_string, four-string_banjo, 🪕, banjer, electric_banjo, classic_banjo, five-string_banjo, banjos, fingerpicking_banjo, stealth_banjo",A stringed instrument of the guitar family that has long neck and circular body,YES
,bn:00008597n,n,"bark, dog_barking, woof, yelp, wuff, dog_bark",The sound made by a dog,YES
,bn:00008615n,n,"barn_dance, barndance",A dance party featuring country dancing,YES
,bn:00008917n,n,"bass, bass_instrument",The member with the lowest range of a family of musical instruments,YES
,bn:00008941n,n,"basso_profundo, basso_profondo, oktavist, low_bass, russian_bass, deep_bass, octavist",A very deep bass voice,YES
,bn:00008942n,n,"bassoon, buffet_system, fagotte, french_bassoon, fagotti, fagotto, bassoons, baßoon, fagott, pancake_key, fagot, basoonist, basoon, heckel_system",A double-reed instrument; the tenor of the oboe family,YES
,bn:00008924n,n,"tuba, sousaphone, bass_horn, bass_tuba, serpent, bombardone, contrabass_tuba, sousaphonist, brass_bass, jazz_tuba, susaphone, sousaphon",The lowest brass wind instrument,YES
,bn:00009213n,n,bay,The sound of a hound on the scent,YES
,bn:00009210n,n,"bawling, wailing",Loud cries made while weeping,YES
,bn:00009208n,n,"shouter, bellower, yeller, bawler, roarer, screamer, screecher",Someone who communicates vocally in a very loud voice,YES
,bn:00009399n,n,beat,The sound of stroke or blow,YES
,bn:00009397n,n,"beat, beat_frequency, battimenti, interference_beating, acoustical_beat, beating, idosing, beating_frequency, beat_wave, binaural_beat, batimientos, acoustic_beat, interference_beat, binaural_frequency, binaural_tones, binaural_frequencies, beat_note",A single pulsation of an oscillation produced by adding two waves of different frequencies; has a frequency equal to the difference between the two oscillations,YES
,bn:00009412n,n,"reed_instrument, reed, beating-reed_instrument",A musical instrument that sounds by means of a vibrating reed,YES
,bn:00009418n,n,"beats_per_minute, metronome_marking, bpm, m.m.",The pace of music measured by the number of beats occurring in 60 seconds,YES
,bn:00009587n,n,"beep, bleep, breep, bleep_sound, beep_sound, *beep*",A short high tone produced as a signal or warning,YES
,bn:00009650n,n,beguine,A ballroom dance that originated in the French West Indies; similar to the rumba,YES
,bn:00009729n,n,"bell, toll",The sound of a bell being struck,YES
,bn:00009727n,n,bell,A hollow device made of metal that makes a ringing sound when struck,YES
,bn:00009733n,n,"bell, chime, gong",A percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument,YES
,bn:00009728n,n,"doorbell, buzzer, bell, door_bell, doorbells, door_chime, intelligent_door_bell",A push button at an outer door that gives a ringing or buzzing signal when pushed,YES
,bn:00009760n,n,bell_ringing,The sound of someone playing a set of bells,YES
,bn:00009762n,n,"bell_ringing, carillon, carillon_playing, campanology",Playing a set of bells that are (usually) hung in a tower,YES
,bn:00009757n,n,"bell_ringer, toller, ringer, bell-ringer",A person who rings church bells (as for summoning the congregation),CHECK
,bn:00009781n,n,"charivari, shivaree, chivaree, callithump, belling, callathump, shivery, skimmington_ride, chiarivari, riding_the_stang, chiverie, skimmington, skimmity_ride",A noisy mock serenade (made by banging pans and kettles) to a newly married couple,YES
,bn:00009787n,n,"roar, yowl, bellow, roaring, bellowing, holler, hollo, holla, hollering, holloa, rawr",A very loud utterance (like the sound of an animal),YES
,bn:00009802n,n,"belly_dancer, exotic_dancer, exotic_belly_dancer",A woman who performs a solo belly dance,YES
,bn:00009801n,n,"belly_dance, belly_dancing, danse_du_ventre, belly_dancers, raks_sharki, hootchy-kootchy, belly_dance_in_the_west, hootchy_kootchy_dance, raks_sharqi, raqs_shaki, raqs_sharki, bellydancer, belly-dance, raqs_al_sharqi, muscle_dance, belly-dancer, muscle_dancer, abdominal_dance, egyptian_belly_dance, hootchie_kootchie_dance, raks_al_sharqi, belly-dancing, bellydancing, muscle_dancing, houchee_kouchee, bellydance_in_the_west, bellydance, arabic_dance",A Middle Eastern dance in which the dancer makes sensuous movements of the hips and abdomen,YES
,bn:00010608n,n,"hiss, raspberry, boo, bird, razz, hoot, bronx_cheer, snort, razzing",A cry or noise made to express displeasure or contempt,YES
,bn:00010650n,n,birdcall,A device for imitating a birdcall,CHECK
,bn:00010662n,n,"whirr, whirring, birr, whir",Sound of something in rapid motion,YES
,bn:00010649n,n,"call, song, birdsong, birdcall, bird_song",The characteristic sound produced by a bird,YES
,bn:00011186n,n,bleat,The sound of sheep or goats (or any sound resembling this),YES
,bn:00011535n,n,blue_murder,An extravagantly loud outcry,YES
,bn:00011620n,n,bluster,Noisy confusion and turbulence,YES
,bn:00011856n,n,bolero,A Spanish dance in triple time accompanied by guitar and castanets,YES
,bn:00011930n,n,"helicon, bombardon, hélicon",A tuba that coils over the shoulder of the musician,YES
,bn:00011943n,n,"buzz, bombilation, bombination",Sound of rapid vibration,YES
,bn:00012024n,n,bong,A dull resonant sound as of a bell,YES
,bn:00012025n,n,"bongo, bongo_drum",A small drum; played with the hands,YES
,bn:00012124n,n,"booking_agent, booker",Someone who engages a person or company for performances,YES
,bn:00012148n,n,"boom, microphone_boom",A pole carrying an overhead microphone projected over a film or tv set,YES
,bn:00012146n,n,"thunder, roaring, roar, boom, thunderclap, clap_of_thunder, peal_of_thunder",A deep prolonged loud noise,CHECK
,bn:00012466n,n,"bow, bow_technique, french_bow, abstrich, aufstrich, bowing_technique, german_bow, talon",A slightly curved piece of resilient wood with taut horsehair strands; used in playing certain stringed instruments,YES
,bn:00012474n,n,bow-wow,The bark of a dog,YES
,bn:00012472n,n,bow,A stroke with a curved piece of wood with taut horsehair strands that is used in playing stringed instruments,YES
,bn:00012483n,n,"string, bowed_stringed_instrument, bowed_string_instrument, bowed_instrument, bowed, bowed_strings, bowed_instruments",Stringed instruments that are played with a bow,YES
,bn:00012492n,n,bowing,Managing the bow in playing a stringed instrument,YES
,bn:00012796n,n,brass_family,(music) the family of brass instruments,YES
,bn:00012790n,n,"brass_instrument, brass, trigger, throw, labrosones, brass_instruments, trumpets, list_of_20th_century_brass_instrumentalists, brass_instrument_construction, labrophones, brass_wind_instrument, labrophone, brass_musical_instrument, labrosone, 20th_century_brass_instrumentalists, lip-reed_instrument, ottoni",A wind instrument that consists of a brass tube (usually of variable length) that is blown by means of a cup-shaped or funnel-shaped mouthpiece,YES
,bn:00012841n,n,bravo,A cry of approval as from an audience at the end of great performance,YES
,bn:00012904n,n,"break, voice_crack",An abrupt change in the tone or register of the voice (as at puberty or due to emotion),CHECK
,bn:00012913n,n,"break_dance, breakdancing, break_dancing, b-girling, breakdance, break-dancers, b-boying, break_dancers, breakin', breaking",A form of solo dancing that involves rapid acrobatic moves in which different parts of the body touch the ground; normally performed to the rhythm of rap music,YES
,bn:00013082n,n,"bridge, electric_guitar_bridge",A wooden support that holds the strings up,YES
,bn:00013386n,n,brouhaha,A confused disturbance far greater than its cause merits,YES
,bn:00013544n,n,bubble_dance,A solo dance similar to a fan dance except large balloons are used instead of fans,YES
,bn:00013583n,n,buck-and-wing,A solo tap dance emphasizing sharp taps,YES
,bn:00013715n,n,"bugle_call, school_call, bugle_calls, call_to_quarters, trumpet_call, bugling, call_to_colors, to_the_colors",A signal broadcast by the sound of a bugle,YES
,bn:00013712n,n,"bugle, keyed_bugle, kent_bugle, bugle_scale, bugle_major, bugleret",A brass instrument without valves; used for military calls and fanfares,YES
,bn:00013824n,n,"loud_hailer, bullhorn, loud-hailer, loudhailer",A portable loudspeaker with built-in microphone and amplifier,YES
,bn:00013906n,n,bunny_hug,A syncopated ballroom dance formerly popular in the US,YES
,bn:00013965n,n,burglar_alarm,A loud warning signal produced by a burglar alarm,YES
,bn:00014177n,n,"busker, street_musician","A person who entertains people for money in public places (as by singing or dancing), usually while asking for money",YES
,bn:00014342n,n,"buzzer, buzzers",A signaling device that makes a buzzing sound,YES
,bn:00014378n,n,"c, b-sharp, b_sharp, b♯, eighth_octave_c, low_c, b#, do_note, soprano_c, tenor_c, baritone_c, deep_c, high_c, triple_high_c, c_in_the_eighth_octave",(music) the keynote of the scale of C major,YES
,bn:00014401n,n,"c_major, c_major_scale, scale_of_c_major, key_of_c, c, za, c-major, d_double-flat_major",(music) the major scale having no sharps or flats,YES
,bn:00014490n,n,cachinnation,Loud convulsive laughter,YES
,bn:00014496n,n,cackle,A loud laugh suggestive of a hen's cackle,YES
,bn:00014494n,n,cackle,The sound made by a hen after laying an egg,YES
,bn:00014495n,n,"cackle, yak, yakety-yak, chatter, yack",Noisy talk,YES
,bn:00014504n,n,"cacophony, euphony",Loud confusing disagreeable sounds,YES
,bn:00014521n,n,"cadency, cadence",A recurrent rhythmical series,YES
,bn:00014827n,n,"caller, caller-out, call, dance_caller",A person who announces the changes of steps during a dance,YES
,bn:00014793n,n,"yell, vociferation, outcry, shout, call, cry",A loud utterance; often in protest or opposition,YES
,bn:00015176n,n,"cancan, can-can, can_can, tiered_petticoat, french_cancan, the_can_can, can_can_dancing, can-can_dancing, the_can-can, chahut, grisettes, quadrille_des_clodoches",A high-kicking dance of French origin performed by a female chorus line,YES
,bn:00015365n,n,cantillation,Liturgical chanting,YES
,bn:00015367n,n,canto,The highest part (usually the melody) in a piece of choral music,YES
,bn:00015377n,n,"cantor, hazan, hazzan, chazzan, cantoral_music, hazzanim, shaliach_tzibur, jewish_cantor, shaliach_tzibbur, chazanim, hazzen, khazn, sheliah_tsibbur, hazzanut, chazen, khazone, ḥazan, ḥazzanim, chazzen, chazanuth, role_of_the_cantor_in_judaism, chazan, ḥazzan",The official of a synagogue who conducts the liturgical part of the service and sings or chants the prayers intended to be performed as solos,YES
,bn:00015417n,n,"condenser_microphone, capacitor_microphone, condenser_mike, capacitor_mike",Microphone consisting of a capacitor with one plate fixed and the other forming the diaphragm moved by sound waves,YES
,bn:00015980n,n,"cardioid_microphone, cardioid_mike",A directional microphone with a cardioid pattern of sensitivity,YES
,bn:00016078n,n,"carillon, carillonist, carollon, carilloni, carillonists, carillonneurs, carallon, carillon_bell, carillons",Set of bells hung in a bell tower,YES
,bn:00016156n,n,"carol, kalanda, carol_singer, kálanda, carolers, carols, nowel",A joyful song (usually celebrating the birth of Christ),YES
,bn:00016155n,n,"christmas_carol, carol, noel, christmas_song, hirtenlieder, kalanda, christmas_hymn, weihnachtslied, christian_carol, kalanta, hirtenlied, weihnachtslieder, christmas_carrol, christmas_carols",Joyful religious song celebrating the birth of Christ,YES
,bn:00016335n,n,"pickup, cartridge, pick_up, guitar_pickup, electro-magnetic_pickup, guitar_pickups, passive_pickup, active_pickup, piezoelectric_pickup, bass_pickup, guitar_pick-up, optical_pickups, magnetic_pickup, piezo_pickup, picup, electromagnetic_pickup, electronic_pickup",An electro-acoustic transducer that is the part of the arm of a record player that holds the needle and that is removable,YES
,bn:00016498n,n,cassette_player,Electronic equipment for playing cassettes,YES
,bn:00016499n,n,cassette_recorder,A recorder for recording or playing cassettes,YES
,bn:00016500n,n,"cassette_tape, compact_audio_cassette, audio_cassette, music_cassette, compact_cassette, compact_cassette_tape, compact_casette, musicassette, compact_casettes, standard_audio_cassette, cassette_tape_recorder, tape_salad, compact_audio_cassettes, cassette, casette_tape, metafine, tape, mc, music_cassettes, music_cartridge, metal_tape, musiccassette, radio_casette, compactcasette, music-cassette, k7, 120_minute_compact_cassette, auto-reverse, audio_cassette_interface, audio_tape, auto_reverse, tape_cassette, cassettetape, pop_tape, autoreverse, magnetophone_cassette, audio_cassettes, cassette-tape_recorder, c-cassette, cassette_tapes, cassette_tape_interface, eaten_tape, audio_cartridge, audio_cassette_tape, audio_casette, chewed_tape, musicassettes, cc, c90_audio_cassette, cassete_tape, bandsalat, type_iv_tape, magnetophone_cassettes, cassette_interface, music-cassettes",A cassette that contains magnetic tape,YES
,bn:00016698n,n,catcall,A cry expressing disapproval,YES
,bn:00016741n,n,"caterwaul, cat_communication, feline_behaviour, olfactory_communication_in_cats, catfight, cat-specific_body_language, merow, cat_behavior, language_of_cats, cat_behaviour, feline_ethology, cat_grooming, cat_kneading, behavior_of_cats, feline_behavior, mreow, left-righting",The yowling sound made by a cat in heat,YES
,bn:00016901n,n,caw,The sound made by corvine birds,YES
,bn:00016915n,n,"compact_disc, cd, compact_disk, compact_disks, compact_discs, cd_quality, un_cd, c_d, digital_record, compactdisk, cd_recording, cds, compact_laser_disc, cd-quality, audio_cds, cd_audio, compact_audio_disc, midi_disc, c.d, c.d., music_compact_disc, compact_laser_disk",A digitally encoded recording on an optical disk that is smaller than a phonograph record; played back by a laser,YES
,bn:00000132n,n,"seventy-eight, 78, 78_rpm",A shellac based phonograph record that played at 78 revolutions per minute,YES
,bn:00017079n,n,"harpsichord, cembalo, clavecin, clavicembalo, virginalls, arpicordo, harpsichord_materials, harpsi, english_virginal, harpsichords, harpischord, klavecimbel, harpsicall, harpsicord, clavicymbal, clavessin, harpsicon, virginall",A clavier with strings that are plucked by plectra mounted on pivots,YES
,bn:00017444n,n,"cha-cha-cha, cha-cha, cha-cha-chá, the_cha_cha, cha_cha_dance",A modern ballroom dance from Latin America; small steps and swaying movements of the hips,YES
,bn:00017519n,n,chair,A particular seat in an orchestra,YES
,bn:00017671n,n,"change_ringing, change-ringing, striking_contest, bellringer, cinques, blue_line, striking_competition, half-muffled, plain_bob_doubles, bell-ringing, doubles, learning_change_ringing, plain_bob_triples",Ringing tuned bells in a fixed order that is continually changing,YES
,bn:00017703n,n,chantry,An endowment for the singing of Masses,CHECK
,bn:00017881n,n,"charleston, the_charleston, charleston_rhythm, charleston_dance",An American ballroom dance in syncopated rhythm; popular early in the 20th century,YES
,bn:00017930n,n,"chasse, sashay, chassé, chassé_step",(ballet) quick gliding steps with one foot always leading,YES
,bn:00018030n,n,"peep, cheep, chirp",The short weak cry of a young bird,YES
,bn:00018429n,n,"chinrest, chin_rest",A rest on which a violinist can place the chin,YES
,bn:00018493n,n,"chink, clink, click",A short light metallic sound,YES
,bn:00018542n,n,chirp,A sharp sound made by small birds or insects,YES
,bn:00018544n,n,"chirrup, twitter",A series of chirps,YES
,bn:00018668n,n,"choir_loft, matroneum",A gallery in a church occupied by the choir,YES
,bn:00018667n,n,"choir, quire, choir-loft, choir_enclosure, choir_stalls, choir_stall, quire,_choir, choir-stalls",The area occupied by singers; the part of the chancel between sanctuary and nave,YES
,bn:00018742n,n,choral_ode,Ode sung by the chorus in classical Greek drama,YES
,bn:00018741n,n,"chorale, choral",A stately Protestant (especially Lutheran) hymn tune,YES
,bn:00018761n,n,choreography,The representation of dancing by symbols as music is represented by notes,YES
,bn:00018759n,n,choreographer,Someone who creates new dances,YES
,bn:00018754n,n,"chordophone, string_instrument, stringed_instrument, stick_chordophone, simple_chordophone, frame_chordophone, composite_chordophone, cordophone, tube_chordophone, bar_chordophone, raft_chordophone, board_chordophone, trough_chordophone, chordophones","A stringed instrument of the group including harps, lutes, lyres, and zithers",YES
,bn:00018760n,n,"choreography, dance_composition, choreographic_composition, stage_dancing, dance_choreography, composition",A show involving artistic dancing,YES
,bn:00018762n,n,"choreography, fan_choreography",A notation used by choreographers,YES
,bn:00018780n,n,"chuckle, chortle",A soft partly suppressed laugh,YES
,bn:00018745n,n,"chord, musical_chord, octave_chord, chord_stream, chord-based, chord_symbol, piano_chord, sonority, suspended_fourth, accordo, chord_symbols, piano_chords",A combination of three or more notes that blend harmoniously when sounded together,YES
,bn:00019279n,n,"zither, cither, zithern, cittern, board_zither, cetra_da_tavola, simple_chordophone, the_zither, zithers, zitherist",A musical stringed instrument with strings stretched over a flat sounding board; it is laid flat and played with a plectrum and with fingers,YES
,bn:00019424n,n,"hue_and_cry, clamouring, clamor, clamour, clamoring",Loud and persistent outcry from many people,YES
,bn:00019456n,n,clarinet_section,The section of a band or orchestra that plays clarinets,YES
,bn:00019458n,n,"clarion, clarino_trumpet",A medieval brass instrument with a clear shrill tone,YES
,bn:00019455n,n,"clarinet, a_clarinet, clarinets, clarenet, b♭_clarinet, clarinet_in_a, clarinette, klarino, clarionet, clerinet, b_flat_clarinet, e-flat_clarinets",A single-reed instrument with a straight tube,YES
,bn:00019568n,n,"classical_ballet, ballet_lessons, ballo_classico, ballet_lesson, ballet_training",A style of ballet based on precise conventional steps performed with graceful and flowing movements,YES
,bn:00019614n,n,"piano_keyboard, clavier, keyboard, fingerboard",A bank of keys on a musical instrument,YES
,bn:00019759n,n,click-clack,A succession of clicks,YES
,bn:00019761n,n,"clickety-clack, clickety-click",A fast and rhythmic click-clack,YES
,bn:00019853n,n,"clopping, clop, clunking, clip-clop, clumping, clippety-clop",The sound of a horse's hoofs hitting on a hard surface,YES
,bn:00019905n,n,clog_dancer,Someone who does clog dancing,YES
,bn:00019904n,n,"clog_dance, clog, clog_dancing",A dance performed while wearing shoes with wooden soles; has heavy stamping steps,YES
,bn:00020057n,n,"cluck, clucking",The sound made by a hen (as in calling her chicks),YES
,bn:00020060n,n,"thumping, thud, thump, clump, clunk",A heavy dull sound (as made by impact of heavy objects),YES
,bn:00020269n,n,"cock-a-doodle-doo, cocka-doodle-doo, cockadoodledoo",An imitation of the crow of a cock,YES
,bn:00021069n,n,"triad, common_chord, harmonic_triad, triadic_music, pivot_chord, common-chord, triadic, pivot, theory_of_triads, triadic_chord, diatonic_pivot_chord",A three-note major or minor chord; a note and its third and fifth tones,YES
,bn:00021129n,n,"common_time, four-four_time, quadruple_time, common_measure",A time signature indicating four beats to the bar,YES
,bn:00021213n,n,"rumpus, ruckus, ruction, commotion, tumult, din",The act of making a noisy disturbance,YES
,bn:00021560n,n,"music_lover, concert-goer",Someone who attends concerts,YES
,bn:00021563n,n,concert_hall,A hall where concerts are given,YES
,bn:00021562n,n,"concert_grand, concert_piano",A grand piano suitable for concert performances,YES
,bn:00021598n,n,"harmony, concord, concordance",A harmonious state of things in general and of their properties (as of colors and sounds); congruity of parts with one another and with the whole,CHECK
,bn:00021797n,n,conga,A Latin American dance of 3 steps and a kick by people in single file,YES
,bn:00022011n,n,"harmoniousness, consonance",The property of sounding harmonious,YES
,bn:00022221n,n,"contredanse, english_country_dance, country-dance, country_dance, country_dancing, contradance, contra_danse, set_dance, contradanse, english_dance, english_country_dances, contra_dance, set, irish_set_dance, english_country_dancing, set_dancing, engelska, anglais, angloise, engelsk",A type of folk dance in which couples are arranged in sets or face one another in a line,YES
